ID,STABILITY,TYPE
A0A1G0AW29_1_1,89.32825531914894,GENERATED
A0A1G0AW29_3_1,91.41976595744681,GENERATED
A0A1G0AW29_9_1,91.11951063829787,GENERATED
Q59462_4_1,88.66516198704105,GENERATED
A0A1G0AW29_8_1,91.07640425531916,GENERATED
A0A1G0AW29_7_1,91.23512765957447,GENERATED
U3U4M7_6_1,90.29862155388471,GENERATED
A0A3B0XHN3_0_1,87.27707021791768,GENERATED
Q59462_5_1,91.26235421166307,GENERATED
A0A1G0AW29_2_1,91.3068510638298,GENERATED
P50922.1,92.88781659388647,NATURAL
Q31IK3.1,92.01718954248366,NATURAL
Q21YM9.1,92.93385620915032,NATURAL
D5AUD5.1,92.11541484716157,NATURAL
OGS68397.1,92.26529787234043,NATURAL
A1VNQ9.1,93.16324618736384,NATURAL
O84917.1,92.52355748373103,NATURAL
Q9ZHZ4.1,93.54803921568629,NATURAL
Q60028.3,94.48366013071896,NATURAL
Q59462.3,92.6710799136069,NATURAL
