ID,Affinity
A0A3B0XHN3_0_1,1
A0A1G0AW29_1_1,1
A0A1G0AW29_2_1,1
A0A1G0AW29_3_1,1
Q59462_4_1,1
Q59462_5_1,1
U3U4M7_6_1,1
A0A1G0AW29_7_1,1
A0A1G0AW29_8_1,1
A0A1G0AW29_9_1,1
OGS68397.1,1
Q59462.3,1
Q60028.3,1
Q31IK3.1,1
O84917.1,1
Q9ZHZ4.1,1
A1VNQ9.1,1
Q21YM9.1,1
P50922.1,1
D5AUD5.1,1
